baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval1000,setInterval1000,setInterval1000,setInterval1000,setInterval1000,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
5.38333,35.2215,100,0.415314,5,3.56997,37.2346,1.04,0.0613878,5,4.26152,36.2077,0.16,0.0621782,6,3.55577,37.0908,1.06857,0.0722608,5,3.63552,36.127,1.08571,0.0710924,5,2.92065,46.8952,0.634286,0.066888,4,
5.06039,31.1727,100,0.367605,5,3.63522,31.1039,1.04,0.067508,5,4.2759,31.5627,0.16,0.059528,6,3.64408,31.129,1.07429,0.0708846,5,4.24213,31.1509,1.13143,0.0673457,6,3.57826,31.1188,0.754286,0.0688354,5,
6.06557,27.1097,100,0.354074,6,3.6009,28.6237,1.04,0.0701216,5,4.24688,29.4905,0.16,0.0628618,6,4.98147,27.5422,1.54857,0.0713089,7,5.75561,28.0299,1.59429,0.0743261,8,4.25485,28.5279,0.868571,0.0684578,6,
6.15911,13.752,100,0.376975,6,4.13693,13.9178,1.04,0.063916,6,4.14978,14.4888,0.16,0.0591248,6,4.24092,14.1833,1.16,0.0687528,6,3.43679,14.3257,1.10857,0.0670238,5,4.29548,14.1264,1.00571,0.070614,6,
5.8069,10.9441,100,0.337833,6,4.22085,11.0112,1.04,0.0611272,6,4.44023,11.7854,0.16,0.064575,6,5.00359,10.9955,1.08,0.08838,6,5.09396,11.0141,1.09714,0.0930555,6,5.73643,10.9344,0.588571,0.094591,6,
8.923,54.3052,100,0.645364,5,6.33205,54.4128,1.04,0.114529,5,6.31179,54.2593,0.16,0.110091,5,6.52044,54.4419,1.05714,0.130096,5,6.40298,54.4051,1.05714,0.126764,5,3.55127,54.6601,0.474286,0.0629272,5,
4.7935,26.5785,100,0.331936,5,3.43837,26.5557,1.04,0.0642542,5,4.86933,25.9248,0.16,0.0641919,7,3.3619,26.8454,1.06286,0.0657752,5,3.46389,26.5903,1.06286,0.0684212,5,3.4962,26.7055,0.365714,0.062021,5,
4.69,18.3117,100,0.312743,5,3.43558,18.3245,1.04,0.065125,5,3.45144,18.2968,0.16,0.0722692,5,3.4476,18.3246,1.04,0.0690128,5,3.51659,18.3246,1.04,0.0700092,5,3.45594,18.3069,0.217143,0.0591042,5,
6.87949,46.8639,100,0.351294,7,5.52824,45.6073,1.04,0.0609123,8,4.19259,45.94,0.16,0.0685567,6,5.09403,45.722,1.34286,0.074206,7,5.65046,45.681,1.37143,0.0695288,8,5.62965,46.1574,0.977143,0.0697402,8,
5.26417,34.3906,100,0.394766,5,3.75548,30.6913,1.04,0.0661818,5,2.97908,43.4048,0.16,0.0616743,4,3.7148,31.6209,1.17143,0.0737074,5,3.59839,31.4598,1.19429,0.0680026,5,3.53709,33.0483,0.52,0.0680154,5,
