baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
1281.51,0.916191,100,150.869,5,717.57,0.916191,20.0357,37.4826,5,583.728,0.916191,5.03571,9.7124,5,580.776,0.916191,0.142857,2.78,5,592.22,0.916191,2.03571,5.9964,5,583.608,0.916191,0.585714,5.0356,5,
932.884,0.809079,100,187.697,3,1040.03,0.923739,20.0357,47.5543,6,860.403,0.923642,5.03571,15.0558,6,449.9,0.894679,0.142857,3.1435,4,744.121,0.923523,2.03741,7.027,6,860.585,0.923739,1.21429,12.246,6,
1593.35,0.91816,100,154.885,6,873.492,0.918172,20.0357,33.6145,6,752.051,0.918186,5.03571,15.1727,6,796.868,0.910169,0.142857,2.84614,7,712.294,0.918194,2.03741,5.85933,6,695.144,0.918179,0.860544,6.13917,6,
2626.35,0.920065,100,218.533,8,1045.17,0.729717,20.0357,55.8512,6,1075.57,0.819593,5.03571,15.3911,8,712.806,0.913861,0.142857,3.51817,6,1049.55,0.829349,2.64286,14.6098,8,1069.41,0.910089,2.15944,14.8101,8,
1719.22,0.908398,100,171.833,6,939.892,0.908398,20.0357,37.0027,6,864.49,0.908398,5.03571,16.1268,6,780.325,0.908397,0.142857,4.641,6,705.633,0.908398,2.03571,6.2,6,727.604,0.908398,0.467687,5.415,6,
1466.75,0.913897,100,169.26,5,805.402,0.913897,20.0357,35.4162,5,684.097,0.913897,5.03571,10.9868,5,647.708,0.913897,0.142857,5.0874,5,699.691,0.913897,2.03571,8.5646,5,699.283,0.913897,0.495918,8.0962,5,
1755.06,0.66207,100,227.627,5,812.473,0.656986,20.0357,51.8928,5,681.697,0.659655,5.03571,19.4638,5,372.89,0.554311,0.142857,3.45833,3,665.626,0.673398,2.42347,13.1852,5,675.191,0.676734,2.7551,20.21,5,
1696.69,0.918942,100,166.237,6,942.648,0.918942,20.0357,37.0972,6,784.698,0.918942,5.03571,13.4278,6,687.12,0.918943,0.142857,3.15767,6,750.041,0.918942,2.03656,6.12783,6,759.966,0.918942,0.573129,6.49967,6,
1595.25,0.910808,100,199.135,5,864.356,0.911199,20.0357,50.1718,5,681.07,0.9113,5.03571,13.057,5,588.364,0.910495,0.142857,4.4964,5,789.759,0.912551,2.04167,9.21983,6,641.34,0.910661,0.655102,7.8646,5,
1755.43,0.918489,100,172.923,6,1038.49,0.918489,20.0357,50.0795,6,835.507,0.918489,5.03571,11.923,6,783.579,0.91849,0.142857,6.70883,6,832.485,0.918489,2.03571,11.058,6,805.948,0.918489,0.591837,7.21783,6,
