baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
87976.4,0.662507,100,16813.6,5,17675.6,0.53132,20.0333,2749.86,5,3789.95,0.848624,0.133333,66.4954,5,5540.94,0.492328,2.09094,319.656,5,8675.99,0.964666,1.71667,668.531,6,14318.6,0.660694,11.3852,2032.19,5,
54222.5,0.0172321,100,9826.4,5,8605.53,0,20.0333,669.383,5,5355.04,0.000249593,0.133333,25.4096,5,5665.16,0,2.34348,90.2842,5,6207.37,0.00163821,1.22609,169.955,5,7743.72,0,13.9536,496.461,5,
21616.7,0,100,3290.52,5,8536.2,0,20.0333,669.239,5,4425.82,0.996395,0.133333,66.9137,6,5605.95,0.00167363,2.06014,151.604,5,6104.35,0.000184847,1.27174,188.27,5,8699.35,0.000419524,10.1348,697.138,5,
99916.7,0.949538,100,16019.7,6,23420.8,0.992652,20.0333,3297.15,6,4046.98,0.984888,0.133333,68.9763,6,6673.57,0.999859,2.68575,521.287,6,8880.7,0.999889,2.58599,918.204,6,17311.5,0.998953,13.2295,2310.03,6,
106020,0.989408,100,16911.5,6,8366.66,0,20.0333,690.521,5,5531.04,0.564612,0.133333,55.2748,6,5401.82,0.160274,2.08019,243.44,5,5629.27,0.0850845,1.22995,287.426,5,9751.36,0.121704,10.1749,1106.16,5,
104413,0.994395,100,16856.2,6,23769.7,0.999402,20.0333,3420.15,6,5175.45,0.00923238,0.133333,28.144,5,7232.9,0.968945,2.22826,438.689,6,7392.9,0.911428,1.57101,449.253,6,14951.4,0.986277,10.2877,1853.88,6,
68190.2,0.4669,100,12829.9,5,13813.2,0.0244793,20.0333,1936.1,5,4422.49,0.108559,0.133333,52.0578,5,5020.86,0.0346796,2.03382,218.44,5,4944.31,0.109368,0.828502,172.344,5,8056.21,0.089973,7.73188,797.842,5,
75837.4,0.132805,100,14111.1,5,19325.9,0.172636,20.0333,2853.13,5,5236.08,0.0912027,0.133333,46.6578,6,6175.1,0.0894107,2.03382,240.875,5,5862.48,0.112587,1.16184,249.926,5,10798.6,0.102494,7.97971,1187,5,
71269.8,0.411393,100,13454,5,8315.8,0,20.0333,673.404,5,4503.39,0.290375,0.133333,53.504,5,5691.8,0.162356,2.2442,351.498,5,5157.02,0,0.621739,46.2762,5,6362.49,0,8.22319,285.56,5,
53289.3,0.0390007,100,9500.16,5,17861.5,0.153467,20.0333,2564.32,5,5580.77,0.0294119,0.133333,25.508,5,6627.4,0.188949,2.63913,302.446,5,7152.23,0.168916,1.85543,434.653,5,11595.9,0.162502,13.3034,1345.08,5,
18591.8,0,100,2852.16,5,7211.34,0,20.0333,580.57,5,4366.28,0,0.133333,13.2142,5,4672.59,0,2.07826,70.1516,5,4661.37,0,0.963768,68.8896,5,5286.47,0,5.92899,193.583,5,
82256.9,0.750848,100,15805.8,5,7959.52,0,20.0333,642.543,5,4742.26,0,0.133333,12.9498,5,5086.37,0,2.07971,75.1294,5,5164.4,0,1.17391,97.6564,5,6191.69,0,8.66232,298.199,5,
90461.6,0.51802,100,17314.7,5,25795.3,0.854718,20.0333,3485.49,6,4094.58,0.45271,0.133333,70.4152,5,6925.2,0.871218,2.04155,397.605,6,4985.64,0.490171,0.61942,261.131,5,10369.8,0.271363,8.77246,1281.93,5,
70701.4,0.34593,100,13329.4,5,17525.7,0.26672,20.0333,2695.73,5,4268.73,0.106079,0.133333,53.5436,5,5729.15,0.261586,2.05181,307.614,5,6834.73,0.294296,1.44986,485.193,5,10806.8,0.319994,9.41703,1372.43,5,
81329.2,0.712157,100,12970.4,6,22908.8,0.845601,20.0333,3149.43,6,3960.91,0.899028,0.133333,54.8405,6,5314.93,0.930701,2.07768,307.696,6,5160.97,0.698082,1.4942,315.821,5,12675.9,0.943885,9.47198,1524.18,6,
20337,0,100,3151.12,5,7762.04,0,20.0333,636.188,5,4610.97,0,0.133333,11.846,5,4892.44,0,2.07826,72.8492,5,4994.72,0,1.31014,87.8988,5,5905.59,0,7.85942,268.08,5,
21368.4,0,100,3255.74,5,8311.49,0,20.0333,658.733,5,4558.33,0.422719,0.133333,39.5366,5,5379.14,0.00415071,2.27246,171.644,5,5496.66,0,1.52754,100.379,5,6855.62,0,10.6754,375.278,5,
40715.2,0.0353336,100,7062,5,12324,0.0268699,20.0333,1432.75,5,5454.68,0.00385889,0.133333,27.976,5,5940.06,0.0286429,2.03333,159.111,5,6022.88,0.0128989,0.45314,139.643,5,8563.92,0.0305611,9.23986,682.459,5,
20612.2,0,100,3110.05,5,8177.08,0,20.0333,632.396,5,4252.93,0.14289,0.133333,52.1926,5,5557.85,0,2.15942,77.3598,5,6527.09,0.027538,1.2401,277.306,5,6854.63,0,11.1739,378.069,5,
22481.5,0,100,3417.76,5,8790.84,0,20.0333,695.69,5,5608.06,0.00738851,0.133333,27.3818,5,5626.55,0.00157214,2.12536,165.276,5,5641.63,0.170872,1.20507,183.375,5,9905.11,0.00300622,12.4841,917.371,5,
68405.6,0.151256,100,12864.9,5,22985,0.993291,20.0333,3262.8,6,4089.61,0.0772948,0.133333,52.711,5,5062.3,0.988389,2.05768,373.96,5,4740.25,0.134898,0.969203,262.337,5,8007.53,0.144221,5.36159,769.037,5,
21230.8,0,100,3303.5,5,8002.58,0,20.0333,669.023,5,4746.57,0,0.133333,12.9748,5,5069.48,0,2.19275,83.0016,5,4887.61,0,0.614493,50.8336,5,6033.58,0,7.87826,277.106,5,
20131.2,0,100,3043.44,5,7987.11,0,20.0333,617.787,5,4992.52,0,0.133333,13.1504,5,5239.04,0,2.03333,70.205,5,5269.36,0,0.984058,75.1714,5,6470.39,0,9.92754,314.405,5,
20858.2,0,100,3162.71,5,8247.71,0,20.0333,640.855,5,4715.47,0.425814,0.133333,51.3994,5,5430.9,0,2.07246,73.9458,5,5644.77,0,1.76377,119.405,5,6799.99,0,10.2841,344.669,5,
19344.5,0,100,2954.78,5,7563.88,0,20.0333,598.641,5,4596.38,0,0.133333,12.727,5,4926.38,0,2.16232,72.9472,5,4982.72,0,1.18986,89.4652,5,5995.77,0,9.11884,292.268,5,
97708.6,0.815044,100,15703.4,6,22783.3,0.969243,20.0333,3165.1,6,5719.83,0,0.133333,13.6966,5,7279.69,0.804009,2.8715,525.522,6,6952.79,0.0102416,3.16594,378.351,5,16287.6,0.995214,12.7181,2141.76,6,
67508.8,0.471368,100,12680.9,5,16913.4,0.398018,20.0333,2576.56,5,4004.42,0.505924,0.133333,50.7682,5,5764.37,0.545551,2.11884,309.839,5,6357.53,0.294767,1.8558,477.71,5,9027.42,0.435854,7.87355,1096.87,5,
84418.2,0.339041,100,16092.1,5,17085.1,0.0749206,20.0333,2599.4,5,5462.59,0.328633,0.133333,65.4558,6,5591.47,0.158689,2.04855,297.041,5,4896.19,0.0939719,0.42029,139.387,5,11704.8,0.176243,7.73507,1084.72,6,
81252.6,0.447116,100,15377,5,7664.89,0,20.0333,619.24,5,4282.02,0.0537269,0.133333,25.8022,5,6162.67,0.737298,2.34377,402.418,5,4879.16,0,0.869565,66.7908,5,5771.77,0,7.42899,237.631,5,
21131.4,0,100,3193.03,5,8391.36,0,20.0333,643.981,5,5225.29,0,0.133333,13.161,5,6356.83,0.825394,2.32638,364.234,6,6611.76,0.548676,2.3029,618.358,5,15430.5,0.993808,11.1937,1920.12,6,
81930.4,0.686315,100,15769.5,5,22571.7,0.874167,20.0333,3197.96,6,3364.13,0.381171,0.133333,51.12,5,4661.11,0.794832,2.08319,374.297,5,4474.99,0,0.378261,34.9764,5,5346.87,0,5.52174,198.628,5,
21314.5,0,100,3340.72,5,8011.42,0,20.0333,673.201,5,4657.08,0,0.133333,13.0968,5,5001.59,0,2.04928,74.6664,5,4798.85,0,0.498551,42.8148,5,6046.26,0,8.23768,283.086,5,
83823.3,0.749798,100,15971.8,5,16555.7,0.550171,20.0333,2574.81,5,4763.7,0.345804,0.133333,53.5037,6,5420.05,0.530893,2.32971,347.939,5,4104.37,0.366639,0.275362,83.3734,5,5919.27,0,9.12174,316.8,5,
55804.7,0.0190281,100,10028.6,5,15787.6,0.0176116,20.0333,2031.68,5,4950.54,0.0265867,0.133333,39.9698,5,6161.69,0.0573619,2.11401,244.74,5,6953.08,0.00752126,1.01691,283.773,5,9963.29,0.0200664,9.35072,1001.23,5,
76841.2,0.686289,100,14624.4,5,18400.3,0.615128,20.0333,2955.78,5,5129.31,0.730476,0.133333,63.994,6,5485.6,0.609106,2.6029,370.354,5,5689.15,0.361009,1.20507,359.682,5,11383.4,0.647862,9.27275,1527.76,5,
101291,0.958415,100,16340.9,6,23695.5,0.998718,20.0333,3333.42,6,4217.92,0.128607,0.133333,39.554,5,5848.97,0.904846,2.18,350.058,6,5633.46,0,2.15217,153.024,5,13603.6,0.992238,9.42464,1685.71,6,
19021.5,0,100,2888.96,5,7559.32,0,20.0333,586.626,5,4675,0,0.133333,12.8634,5,4889.44,0,2.03333,65.3824,5,4764.54,0,0.465217,34.4258,5,5750.61,0,7.60435,231.25,5,
93565,0.997701,100,14959.3,6,7700.59,0,20.0333,625.271,5,3713.1,0.298287,0.133333,66.1358,5,6788.89,0.686123,2.12145,311.074,6,5022.8,0.186942,1.09662,226.306,5,6159.9,0,9.88116,322.724,5,
104805,0.740214,100,16679.6,6,8293.38,0,20.0333,683.001,5,4886.01,0,0.133333,13.5514,5,5248.53,0,2.03333,76.7222,5,5114.62,0,0.73913,52.7612,5,6569.83,0,9.75362,349.453,5,
19584.3,0,100,2981.35,5,7686.5,0,20.0333,606.288,5,3436.7,0.922452,0.133333,65.685,5,5791.22,0.925344,2.11848,244.717,6,5060.75,0,1.25217,83.5202,5,5848.36,0,7.70435,241.171,5,
78933.6,0.889965,100,12387.4,6,23005.8,0.919904,20.0333,3001.07,6,4791.62,0.0141857,0.133333,25.4014,5,6081.83,0.00646157,2.14855,145.872,5,6517.58,0.0161451,2.39348,295.977,5,9190.41,0.323152,10.0077,949.376,5,
20309.7,0,100,3131.91,5,7772.56,0,20.0333,633.668,5,4683.18,0,0.133333,13.0928,5,4950.49,0,2.03333,71.653,5,4813.91,0,0.743478,45.6432,5,5662.35,0,6.23623,214.066,5,
51965,0.15313,100,9598.2,5,17177,0.0913698,20.0333,2584.55,5,4135.92,0.122796,0.133333,39.1204,5,5676.3,0.0773262,2.03406,287.687,5,5789.79,0.0883796,1.04022,309.39,5,8430.52,0.0706058,5.93043,828.073,5,
19088.6,0,100,2919.44,5,7409.7,0,20.0333,592.252,5,4395.35,0,0.133333,12.9366,5,5501.25,0.403537,2.59167,360.316,5,4727.46,0,1.12319,68.6976,5,5654.39,0,7.96957,245.621,5,
64978.4,0.881654,100,10025,6,7576.68,0,20.0333,616.676,5,4507.93,0,0.133333,12.5334,5,5811.65,0.391834,3.02101,429.339,5,5150.79,0,2.1058,112.483,5,12710.5,0.487284,12.7351,1642.97,5,
20531.9,0,100,3181.39,5,13828.3,0.0205369,20.0333,1915.94,5,3914.09,0.106505,0.133333,51.0118,5,4981.77,0,2.11449,78.3094,5,5177.13,0,1.78696,110.393,5,6056.15,0,8.1029,280.316,5,
39025.2,0.000733909,100,6690.71,5,8734.53,0,20.0333,680.367,5,5365.54,0,0.133333,11.9362,5,5995.76,0.000719792,2.18188,170.264,5,5800.46,0.00133077,0.786957,135.053,5,7448.22,0,11.7261,428.496,5,
21323.3,0,100,3309.2,5,8093.77,0,20.0333,668.555,5,4908.77,0.00144858,0.133333,25.8278,5,5116.83,0,2.05797,75.0662,5,5116.56,0,1.32029,70.7116,5,6525.88,0,10.2087,355.481,5,
88444.8,0.499447,100,13936.9,6,14397.9,0.595593,20.0333,2228.13,5,3487.75,0.544476,0.133333,50.3892,5,4655.38,0.14087,2.03623,257.049,5,5523.22,0.395529,0.768406,290.538,5,12723.3,0.399746,8.58816,1269,6,
20076.8,0,100,3158.15,5,7468.76,0,20.0333,637.72,5,4335.79,0,0.133333,12.8152,5,4611.73,0,2.03333,71.617,5,4770.62,0,1.20145,106.749,5,5270.48,0,5.72029,198.262,5,
20654.6,0,100,3215.72,5,7870.35,0,20.0333,652.296,5,4627.09,0,0.133333,12.3156,5,4935.76,0,2.03333,72.2118,5,4702.58,0,0.401449,24.4526,5,5884.69,0,7.4058,255.763,5,
93072.6,0.999791,100,15015.7,6,15638.5,0.567517,20.0333,2465.46,5,3765.41,0.0409733,0.133333,37.58,5,5033.32,0,2.31304,85.9836,5,5101.47,0,1.69565,104.658,5,12226.3,0.636716,9.84899,1383.28,6,
72602.3,0.546136,100,13741.2,5,24972.2,0.253783,20.0333,3449.78,6,4545.19,0.0749747,0.133333,42.3268,5,7416.79,0.256935,2.08357,406.068,6,8325.7,0.898278,2.30942,746.824,6,13246.3,0.106448,10.34,1876.11,5,
101612,0.857846,100,16170.4,6,23923.4,0.990338,20.0333,3340.37,6,5794.14,0.707659,0.133333,65.6957,6,7189.33,0.968892,2.82246,547.984,6,8492.04,0.362327,1.29478,670.802,5,19339.5,0.691318,13.0469,2319.16,6,
